Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
covid_test_result,covid_test,,radio,Test result,"1, Positive | 2, Negative | 3, Failed | 4, Lost | 90, Other",,,,,,,,,,,,From RADx-UP Testing Core
covid_test_result_other,covid_test,,text,Other test result,,,,,,,"[covid_test_result] = ""90""",,,,,,
sym_date_mdy,symptoms,This is for projects that are doing acute testing. To collect as part of the testing procedure by the study team.,text,Date of Symptom Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
covidsympdesc,symptoms,Current Symptoms,descriptive,Have you had any of these symptoms during the past week?,,,,,,,,,,,,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening | modified to 1 week based on feedback from RADx-UP projects | Only for projects that are providing acute COVID-19 testing
covid_fever_2,symptoms,,radio,Fever or chills,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
covid_cough_2,symptoms,,radio,Cough,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
covid_diffbreath_2,symptoms,,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
covid_fatigue_2,symptoms,,radio,Lack of energy or general tired feeling,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening | modified to 1 week based on feedback from RADx-UP projects.  This CDE can also be submitted under its previous name covid_fatique_2  (with a q)
covid_myalgia_2,symptoms,,radio,Muscle or body aches,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
covid_headache_2,symptoms,,radio,Headache,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,covid_symptomlist,,|https://www.cdc.gov/screening/index.html|CDC COVID-19 Screening
